"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "TypeScript", "JSON", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\be.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\be.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\be.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\bg.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\bg.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\bg.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\bn.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\bn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\bn.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\bs.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\bs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\bs.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\ca.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\ca.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\ca.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\cs.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\cs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\cs.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\da.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
