"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\scrollTabs.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 9, 52
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\soundChangeMaker.jsx", "JavaScript JSX", 0, 0, 827, 0, 0, 0, 0, 12, 48, 887
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\spellingCreator.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, 0, 0, 0, 1, 0
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\syllableCategories.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\themeSelection.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 7, 65
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\wordSelector.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\wordViewer.jsx", "JavaScript JSX", 0, 0, 77, 0, 0, 0, 0, 1, 8, 86
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\applyProsody.jsx", "JavaScript JSX", 0, 0, -186, 0, 0, 0, 0, -49, -51, -286
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\capitaliseFirstLetter.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\createDerivations.jsx", "JavaScript JSX", 0, 0, -12199, 0, 0, 0, 0, -10, -242, -12451
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\formatMeaning.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\grammaticalise.jsx", "JavaScript JSX", 0, 0, 148, 0, 0, 0, 0, 16, 29, 193
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\handleSelection.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\phonologyWeight.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, 0, 0, 1, 2, 2
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Functions\prosody\applyProsody.jsx", "JavaScript JSX", 0, 0, 139, 0, 0, 0, 0, 22, 32, 193
